tournament,tournament_id,dated
ABN AMRO World Tennis Tournament,1,11/02/2009
ABN AMRO World Tennis Tournament,1,11/02/2009
ABN AMRO World Tennis Tournament,1,11/02/2009
ABN AMRO World Tennis Tournament,1,11/02/2009
ABN AMRO World Tennis Tournament,1,12/02/2009
ABN AMRO World Tennis Tournament,1,12/02/2009
ABN AMRO World Tennis Tournament,1,12/02/2009
ABN AMRO World Tennis Tournament,1,12/02/2009
ABN AMRO World Tennis Tournament,1,12/02/2009
ABN AMRO World Tennis Tournament,1,12/02/2009
ABN AMRO World Tennis Tournament,1,13/02/2009
ABN AMRO World Tennis Tournament,1,13/02/2009
ABN AMRO World Tennis Tournament,1,13/02/2009
ABN AMRO World Tennis Tournament,1,13/02/2009
ABN AMRO World Tennis Tournament,1,14/02/2009
ABN AMRO World Tennis Tournament,1,14/02/2009
ABN AMRO World Tennis Tournament,1,15/02/2009
ABN AMRO World Tennis Tournament,1,18/02/2008
ABN AMRO World Tennis Tournament,1,18/02/2008
ABN AMRO World Tennis Tournament,1,18/02/2008
ABN AMRO World Tennis Tournament,1,18/02/2008
ABN AMRO World Tennis Tournament,1,18/02/2008
ABN AMRO World Tennis Tournament,1,19/02/2008
ABN AMRO World Tennis Tournament,1,19/02/2008
ABN AMRO World Tennis Tournament,1,19/02/2008
ABN AMRO World Tennis Tournament,1,19/02/2008
ABN AMRO World Tennis Tournament,1,19/02/2008
ABN AMRO World Tennis Tournament,1,19/02/2008
ABN AMRO World Tennis Tournament,1,20/02/2008
ABN AMRO World Tennis Tournament,1,20/02/2008
ABN AMRO World Tennis Tournament,1,20/02/2008
ABN AMRO World Tennis Tournament,1,20/02/2008
ABN AMRO World Tennis Tournament,1,20/02/2008
ABN AMRO World Tennis Tournament,1,20/02/2008
ABN AMRO World Tennis Tournament,1,20/02/2008
ABN AMRO World Tennis Tournament,1,21/02/2008
ABN AMRO World Tennis Tournament,1,21/02/2008
ABN AMRO World Tennis Tournament,1,21/02/2008
ABN AMRO World Tennis Tournament,1,21/02/2008
ABN AMRO World Tennis Tournament,1,21/02/2008
ABN AMRO World Tennis Tournament,1,21/02/2008
ABN AMRO World Tennis Tournament,1,22/02/2008
ABN AMRO World Tennis Tournament,1,22/02/2008
ABN AMRO World Tennis Tournament,1,22/02/2008
ABN AMRO World Tennis Tournament,1,22/02/2008
ABN AMRO World Tennis Tournament,1,23/02/2008
ABN AMRO World Tennis Tournament,1,23/02/2008
ABN AMRO World Tennis Tournament,1,24/02/2008
AEGON Championships,2,18/06/2018
AEGON Championships,2,18/06/2018
AEGON Championships,2,18/06/2018
AEGON Championships,2,18/06/2018
AEGON Championships,2,18/06/2018
AEGON Championships,2,18/06/2018
AEGON Championships,2,19/06/2018
AEGON Championships,2,19/06/2018
AEGON Championships,2,19/06/2018
AEGON Championships,2,19/06/2018
AEGON Championships,2,19/06/2018
AEGON Championships,2,19/06/2018
AEGON Championships,2,19/06/2018
AEGON Championships,2,19/06/2018
AEGON Championships,2,19/06/2018
AEGON Championships,2,19/06/2018
AEGON Championships,2,20/06/2018
AEGON Championships,2,20/06/2018
AEGON Championships,2,20/06/2018
AEGON Championships,2,20/06/2018
AEGON Championships,2,20/06/2018
AEGON Championships,2,21/06/2018
AEGON Championships,2,21/06/2018
AEGON Championships,2,21/06/2018
AEGON Championships,2,22/06/2018
AEGON Championships,2,22/06/2018
AEGON Championships,2,22/06/2018
AEGON Championships,2,22/06/2018
AEGON Championships,2,23/06/2018
AEGON Championships,2,23/06/2018
AEGON Championships,2,24/06/2018
AEGON Championships,2,19/06/2017
AEGON Championships,2,19/06/2017
AEGON Championships,2,19/06/2017
AEGON Championships,2,19/06/2017
AEGON Championships,2,19/06/2017
AEGON Championships,2,20/06/2017
AEGON Championships,2,20/06/2017
AEGON Championships,2,20/06/2017
AEGON Championships,2,20/06/2017
AEGON Championships,2,20/06/2017
AEGON Championships,2,20/06/2017
