atp,events_id,series,location,dated,tournament,location_id
58,58,Masters 1000,Shanghai,08/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,08/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,09/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,09/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,09/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,09/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,09/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,09/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,09/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,09/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,09/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,09/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,09/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,09/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,09/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,09/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,09/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,09/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,10/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,10/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,10/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,10/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,10/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,10/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,10/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,10/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,11/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,11/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,11/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,11/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,12/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,12/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,13/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,07/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,07/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,07/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,08/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,08/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,08/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,08/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,08/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,08/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,08/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,08/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,08/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,08/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,09/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,09/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,09/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,09/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,09/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,09/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,09/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,09/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,09/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,09/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,09/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,09/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,09/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,09/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,10/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,10/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,10/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,10/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,10/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,10/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,10/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,10/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,10/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,10/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,10/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,10/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,10/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,11/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,11/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,11/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,11/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,11/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,11/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,11/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,11/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,12/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,12/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,12/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,12/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,13/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,13/10/2012,Shanghai Masters,87
58,58,Masters 1000,Shanghai,14/10/2012,Shanghai Masters,87
58,58,ATP250,Moscow,17/10/2011,Kremlin Cup,64
58,58,ATP250,Moscow,17/10/2011,Kremlin Cup,64
58,58,ATP250,Moscow,17/10/2011,Kremlin Cup,64
58,58,ATP250,Moscow,17/10/2011,Kremlin Cup,64
58,58,ATP250,Moscow,17/10/2011,Kremlin Cup,64
58,58,ATP250,Moscow,18/10/2011,Kremlin Cup,64
58,58,ATP250,Moscow,18/10/2011,Kremlin Cup,64
58,58,ATP250,Moscow,18/10/2011,Kremlin Cup,64
58,58,ATP250,Moscow,18/10/2011,Kremlin Cup,64
58,58,ATP250,Moscow,18/10/2011,Kremlin Cup,64
58,58,ATP250,Moscow,18/10/2011,Kremlin Cup,64
58,58,ATP250,Moscow,19/10/2011,Kremlin Cup,64
58,58,ATP250,Moscow,19/10/2011,Kremlin Cup,64
58,58,ATP250,Moscow,19/10/2011,Kremlin Cup,64
58,58,ATP250,Moscow,19/10/2011,Kremlin Cup,64
58,58,ATP250,Moscow,19/10/2011,Kremlin Cup,64
58,58,ATP250,Moscow,20/10/2011,Kremlin Cup,64
58,58,ATP250,Moscow,20/10/2011,Kremlin Cup,64
58,58,ATP250,Moscow,20/10/2011,Kremlin Cup,64
58,58,ATP250,Moscow,20/10/2011,Kremlin Cup,64
58,58,ATP250,Moscow,21/10/2011,Kremlin Cup,64
